,Type,Price,Contracts,Cum. Profit NONE,Profit %,total_value,payment,leverage
0,Entry Short,748.27,80.1282,-1099.52,-1.83,,59957.528214000005,0.6062410234409379
2,Entry Long,761.69,78.8924,1870.6,4.94,98900.48,60091.552156,0.5898812037624201
4,Entry Long,1061.31,57.5914,4901.92,4.96,101870.6,61122.328733999995,0.5826616780131383
6,Entry Short,919.81,68.4276,3351.87,-2.46,104901.92,62940.39075599999,0.6089913105200708
8,Entry Long,942.09,66.0966,4247.5,1.44,103351.87,62268.945894,0.5973183615338497
10,Entry Short,956.02,66.1349,7371.52,4.94,104247.5,63226.287098,0.588855285815084
12,Entry Short,823.71,78.2467,5526.93,-2.86,107371.52,64452.58925700001,0.610769111325422
14,Entry Long,846.95,75.1854,8663.12,4.93,105526.93,63678.27453,0.5860155177764085
16,Entry Long,856.09,76.1577,8955.32,0.45,108663.12,65197.84539300001,0.5983906558486544
18,Entry Short,860.27,76.323,12216.18,4.97,108955.32,65658.38720999999,0.5851062405617442
20,Entry Short,693.48,96.9163,10568.53,-2.45,112216.18,67209.51572400001,0.6078539320727155
22,Entry Long,710.2,190.1245,4964.0,-4.15,110568.53,135026.4199,1.2864069576235662
24,Entry Short,681.0,93.5105,8137.22,4.98,104964.0,63680.650499999996,0.5888874385711044
26,Entry Long,612.34,105.8473,5973.61,-3.34,108137.22,64814.53568200001,0.6116101516405831
28,Entry Short,592.14,108.1327,9164.51,4.98,105973.61,64029.696978,0.5865431629565323
30,Entry Long,463.67,141.1609,6485.03,-4.09,109164.51,65452.074503,0.6146598681805321
32,Entry Short,444.87,143.9464,9651.35,4.94,106485.03,64037.43496800001,0.584009544506292
34,Entry Long,413.21,159.0571,6217.14,-5.23,109651.35,65723.98429099999,0.6187700430551979
36,Entry Short,391.78,163.2868,9273.39,4.78,106217.14,63972.502504,0.5854353242266941
38,Entry Long,378.35,173.2893,11161.63,2.88,109273.39,65564.006655,0.5898078919407713
40,Entry Short,389.4,344.588,9436.37,-1.29,111161.63,134182.5672,1.2261240682599395
42,Entry Long,394.25,168.9837,12732.97,4.95,109436.37,66621.823725,0.5909701813497861
44,Entry Long,515.51,131.1865,16099.03,4.98,112732.97,67627.952615,0.5825023052733516
46,Entry Short,669.69,104.1153,19621.15,5.05,116099.03,69724.97525700001,0.5828816664695166
48,Entry Long,743.49,96.4738,20427.75,1.12,119621.15,71727.305562,0.5956044646022199
50,Entry Short,752.15,96.861,23992.87,4.89,120427.75,72854.00115,0.5875660523867219
52,Entry Long,677.07,109.8691,27689.13,4.97,123992.87,74389.07153700001,0.5825795158679522
54,Entry Short,709.52,107.9793,31490.35,4.96,127689.13,76613.47293599999,0.5826547190421197
